Role;Seniority;Specialization;Skill;Proficiency
Application Engineer;Senior;DevOps;Nginx;3
Application Engineer;Senior;DevOps;PostgreSQL;3
Application Engineer;Senior;DevOps;Prometheus;3
Test Engineer;Regular;QA Automation;Atlassian Jira;3
Test Engineer;Regular;QA Automation;Git;3
Test Engineer;Regular;QA Automation;Java;3
Test Engineer;Regular;QA Automation;Selenium;3
Test Engineer;Regular;QA Automation;SQL;3
Software Developer;Lead;JavaScript (Angular, React etc.);Angular;4
Software Developer;Lead;JavaScript (Angular, React etc.);CSS3;5
Software Developer;Lead;JavaScript (Angular, React etc.);Git;4
Software Developer;Lead;JavaScript (Angular, React etc.);HTML;5
Software Developer;Lead;JavaScript (Angular, React etc.);HTML5;5
Software Developer;Lead;JavaScript (Angular, React etc.);JavaScript;5
Software Developer;Lead;JavaScript (Angular, React etc.);Node.js;3
Software Developer;Lead;JavaScript (Angular, React etc.);React;4
Software Developer;Lead;JavaScript (Angular, React etc.);Redux;5
Software Developer;Lead;JavaScript (Angular, React etc.);TypeScript;4
